req_id,일시,요청자,소스,결정,요약,영향 산출물,변경유형,DA점수,위키 커밋
REQ-20250214-cto-ai-architecture-approval-update,2026-07-31T21:00:03.286+09:00,CTO실,bench:S01:B00000,"비교·선정안과 관련 산출물 업데이트를 승인한다. 단, 최종 아키텍처 확정 전 비용·성능 가정, 평가 가중치, 컴플라이언스 통제, 라이선스·운영 책임 및 PoC 성공 기준을 보완·확정한다.","AWS·Azure·GCP 클라우드, GPU Serving 자체구축·클라우드 임차, SAP HANA·Oracle DB를 비교하고 CTO 의사결정 및 요구사항 추적을 갱신한다.",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 산출물_설계서.docx; 요구사항_추적표.xlsx; 보고_장표.pptx,"add,modify",5,https://github.com/Abraxaspark91/n8n_termpjt/commit/3d98b933eab01ae3ce1838b7a8b974aa35070e4a
REQ-20250214-cto-ai-architecture-approval-execution-result,2026-07-31T21:26:47.702+09:00,CTO실,bench:S01:B00000,"AWS·Azure·GCP, GPU 자체구축·클라우드 임차, SAP HANA·Oracle 비교 및 9개 영향 산출물의 갱신을 승인·기록한다. 클라우드 GPU 3년 TCO 12% 우위는 조건부 권고로 유지하며 비용·라이선스·보안·PoC·운영 책임 및 CTO실 최종 승인 전 최종 클라우드와 DB는 확정하지 않는다.",AWS·Azure·GCP와 GPU 운영 방식 및 SAP HANA·Oracle을 비용·기능·보안·연계성·운영·확장성 기준으로 비교하고 TCO·민감도·PoC·승인 조건을 산출물에 반영한다.,전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표; 보고 장표; TCO 비교표; 산출물 설계서,"add,modify",5,https://github.com/Abraxaspark91/n8n_termpjt/commit/673a4140a24bae1811ab32810cb89872fac73a7b
REQ-20250214-cto-ai-architecture-approval-execution-result-v4,2026-07-31T12:53:11.248Z,CTO실,bench:S01:B00000,"AWS·Azure·GCP, GPU 자체구축·클라우드 임차, SAP HANA·Oracle 비교와 TCO·PoC·보안·규정 준수·운영 책임 검증 항목을 산출물에 반영하며, 클라우드 GPU 3년 TCO 12% 우위는 조건부 권고로 유지한다. 최종 플랫폼·DB 선정은 검증 및 CTO실 승인 이후 확정한다.","승인된 전사 AI 아키텍처 비교·선정, GPU Serving 하드웨어, SAP HANA·Oracle DB 검토 및 관련 추적·보고 산출물을 갱신한다.",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표; 산출물_설계서.docx; 요구사항_추적표.xlsx; 보고_장표.pptx,add; add; add; add; modify; modify; modify; modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/8951bd87d9d3b30ac3c5446b75f3b77517e2ad08
REQ-20250214-cto-ai-architecture-approval-execution-result-v7,2026-07-31T22:11:06.033+09:00,CTO실,bench:S01:B00001,승인된 5개 영향 산출물과 기성 문서 3종의 갱신 실행을 기록한다. 클라우드 GPU 12% TCO 우위는 조건부 권고로 유지하며 비용·라이선스·보안·규정 준수·PoC·운영 책임 검증과 CTO실 최종 승인 전에는 플랫폼·GPU 방식·DB를 확정하지 않는다.,"AWS·Azure·GCP 플랫폼, GPU 자체구축·클라우드 임차, SAP HANA·Oracle을 비용·보안·규정 준수·운영·성능·확장성·연계성 기준으로 비교하고 검증 게이트를 요구사항 추적표와 CTO실 보고서에 연결한다.",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 경영진 보고 장표,add/modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/cc6f482ab80f056ae33962f2877282773b68b71c
REQ-20250214-cto-ai-architecture-approval-execution-result-v6,2026-07-31T22:08:05.861+09:00,CTO실,bench:S01:B00010,산출물 갱신 실행을 승인 결과로 기록하되 클라우드 GPU 3년 TCO 12% 우위는 조건부 권고로 유지하고 비용·라이선스·PoC·보안·운영 검증 및 CTO실 최종 승인 후 최종 아키텍처를 확정한다.,"AWS·Azure·GCP, GPU 자체구축·클라우드 임차, SAP HANA·Oracle 비교와 검증 게이트를 전사 AI 아키텍처 관련 산출물에 반영",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표,modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/63709b2862514dcc7d33a08b0ad5cc898b5217ce
REQ-20250214-cto-ai-architecture-selection-approval,2026-07-31T22:03:58.653+09:00,CTO실,bench:S01:B00100,"보완 조건부 승인. 전사 AI 아키텍처, GPU 인프라, 데이터베이스 비교 산출물과 CTO 의사결정 보고서를 추가·갱신하고, 클라우드 GPU의 12% TCO 우위는 조건부 권고로 유지한다. 최종 선정 전 비용·라이선스·규정 준수 근거, 교차 모듈 영향, 운영·탈출 계획 및 정량 PoC·벤치마크 게이트를 확정한다.","AWS·Azure·GCP·GPU 자체구축/클라우드 임차·SAP HANA/Oracle 비교 및 CTO 의사결정 보고서 추가, 요구사항 추적표·경영진 보고 장표 수정",전사 AI 아키텍처 비교·선정안(add); AI Serving 하드웨어 검토서(add); 데이터베이스 선정 검토서(add); CTO실 의사결정 보고서(add); 요구사항 추적표 및 경영진 보고 장표(modify),add/modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/b4596d0d09a7d11eb067547749763eaeeef3c33c
REQ-20250214-cto-ai-architecture-selection,2026-07-31T21:04:49.005+09:00,CTO실,bench:S01:B01000,"전사 AI 아키텍처 비교·선정안, AI Serving 하드웨어 검토서, 데이터베이스 선정 검토서, CTO실 의사결정 보고서 및 요구사항 추적표를 갱신한다. 3년 TCO 기준 클라우드 GPU 12% 우위를 조건부 권고하되 비용·라이선스·PoC·벤치마크·규제 요건 검증 전 최종 클라우드와 DB를 확정하지 않는다.","클라우드·GPU Serving·DB 비교 기준, 3년 TCO, 조건부 권고 및 최종 확정 전 검증 항목을 반영한다.",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표,add/modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/a7c52a9b948bf4f8e95700edab8526f7d639025d
REQ-20250214-cto-ai-architecture-approval-execution-result-v2,2026-07-31T12:30:02.815Z,CTO실,bench:S01:B01000,"AWS·Azure·GCP, GPU 자체구축·클라우드 임차, SAP HANA·Oracle 비교 산출물과 CTO 의사결정·추적 산출물을 갱신했으며, 원천 TCO·민감도·중단 기준과 규제·운영·네트워크·MLOps·DR 검증 및 담당자·기한·PoC 승인 게이트 확정 전 최종 아키텍처 선정은 보류한다.","승인된 전사 AI 아키텍처 비교·선정 범위를 산출물에 반영하고, 클라우드 GPU 3년 TCO 12% 우위를 조건부 권고로 기록하되 검증 완료 전 최종 클라우드·DB 확정을 보류한다.",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표,add; add; add; add; modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/61f52d9375634b089cd9fc967159cadee4aef5f6
REQ-20250214-cto-ai-architecture-selection,2026-07-31T22:00:49.427+09:00,CTO실,bench:S01:B01000,"진행을 승인하되 클라우드 GPU 12% TCO 우위는 잠정·조건부 권고로 제한하고, 비용·라이선스·보안·운영·PoC 검증과 cross-module 영향 추적을 완료한 후 최종 플랫폼 및 DB를 확정한다.","AWS·Azure·GCP 및 SAP HANA·Oracle 비교, GPU TCO 검증, PoC·보안·운영 선행 조건 반영",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표,"add,add,add,add,modify",5,https://github.com/Abraxaspark91/n8n_termpjt/commit/936298833b71ecb10323acc65d44caa19bc18a91
REQ-20250214-cto-ai-architecture-approval-execution-result-v5,2026-07-31T21:57:48.522+09:00,CTO실,bench:S01:B10000,"AWS·Azure·GCP, GPU 자체구축·클라우드 임차, SAP HANA·Oracle 비교 및 관련 산출물 갱신을 완료한 것으로 기록한다. 클라우드 GPU 3년 TCO 12% 우위는 조건부 권고로 유지하며 PoC·벤치마크, 비용·라이선스·보안·규제·운영 책임 검증과 CTO실 최종 승인을 최종 확정 조건으로 둔다.",AWS·Azure·GCP 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표,modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/4f725eaefc643f3c8f3f47baf4a9f31811e5723b,
REQ-20250214-cto-ai-architecture-approval-payload,2026-07-31T21:08:52.844+09:00,CTO실,bench:S01:B10101,"AWS·Azure·GCP, GPU 자체구축·클라우드 임차, SAP HANA·Oracle 비교와 관련 산출물 갱신을 승인한다. 클라우드 GPU의 3년 TCO 12% 우위는 조건부 권고로 기록하되 비용·보안·규제·라이선스·성능·PoC 검증 및 CTO실 최종 승인 전에는 최종 클라우드와 DB를 확정하지 않는다.","전사 AI 아키텍처, AI Serving 하드웨어, 데이터베이스, CTO실 의사결정, 요구사항 추적표, 설계서, 보고 장표, TCO 비교표 갱신",전사 AI 아키텍처 비교·선정안; AI Serving 하드웨어 검토서; 데이터베이스 선정 검토서; CTO실 의사결정 보고서; 요구사항 추적표 및 보고 장표; 산출물_설계서.docx; 요구사항_추적표.xlsx; 보고_장표.pptx; TCO_비교표.xlsx,add/modify,5,https://github.com/Abraxaspark91/n8n_termpjt/commit/c65cfc68d32450ffed72981cbb6a45305a4670ac
